origin,average_user_rating,weight,title,manufactured,current_url,length,score,gauge,cigar_format,ring,presentation
Cuba,0.0,"18,79 gr.",Partagas Fabulosos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Fabulosos.htm,235,,Thick,Gran Corona,47,Unknown.
Cuba,0.0,"8,46 gr.",Partagas Eminentes Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Eminentes.htm,132,,Medium,Eminentes,44,Special packaging: (Aluminium packs with cellophane) Boxes of 5 in boxes of 100.
Cuba,4.0,,Partagas Habaneros Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Habaneros.htm,125,8.1,Thin,Belvederes,39,"Semi Plain Box: (With cellophane) Boxes of 25.
Cardboard pack: (With cellophane) Boxes of 25 (discontinued in 2002) and boxes of 50; (With and without cellophane) boxes of 5 in boxes of 25 and 50."
Cuba,4.0,"6,67 gr.",Partagas Culebras Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Culebras.htm,146,7.7,Thin,Culebra,39,Packets of 3 entwined cigars wrapped in aluminium
Cuba,0.0,,Partagas Cristal Tubos Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Cristal-Tubos.htm,,,Medium,,,
Cuba,0.0,"9,29 gr.",Partagas Coronas A Mejorado Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Coronas-A-Mejorado.htm,142,,Medium,Corona,42,Semim Plain Box: (with cellophane) Boxes of 25.
Cuba,4.0,"9,29 gr.",Partagas Coronas Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-Coronas.htm,142,8.4,Medium,Corona,42,2 Layers in a Box of 25
Cuba,4.5,"10,14 gr.",Partagas Coronas Grandes Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-Coronas-Grandes.htm,155,,Medium,Corona Grande,42,2 Layers in a Box of 25
Cuba,3.5,"6,72 gr.",Partagas Coronas Junior Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Coronas-Junior.htm,117,7.2,Medium,Coronitas,40,Semi Plain Box: (In aluminium tubes) boxes of 10 and boxes of 25.
Cuba,0.0,"7,52 gr.",Partagas Capitols Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Capitols.htm,129,,Medium,Petit Cetro,40,Special Packaging: (Without cellophane) Aluminium packs of 5 in boxes of 100
Cuba,3.5,3 gr.,Partagas Chicos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Chicos.htm,106,6.9,Thin,Chicos,29,Two layers wrapped in cellophane in a box of 25
Cuba,4.0,"15,07 gr.",Partagas Churchills de Luxe Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-Churchills-de-Luxe.htm,178,8.0,Thick,Julieta No. 2,47,2 Layers in a Box of 25
Cuba,4.0,"8,46 gr.",Partagas Coronas Senior Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-Coronas-Senior.htm,132,7.5,Medium,Eminentes,44,3 Layers of cedar-lined aluminium tubes in a box
Cuba,4.5,3 gr.,Partagas Bonitos Extra Mild Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Bonitos-Extra-Mild.htm,106,,Thin,Chicos,29,Semi Plain Box: (With cellophane) Boxes of 25.
Cuba,0.0,,Partagas Almirantes Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Almirantes.htm,156,,Thin,,,
Cuba,1.5,,Partagas Belvederes Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-Belvederes.htm,125,,Thin,Belvederes,39,Semi Plain Box: (With cellophane) Boxes of 25; (without cellophane) boxes of 25
Cuba,4.0,,Partagas 155 Aniversario Salomones I Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-155-Aniversario-Salomones-I.htm,184,,Thick,Salomones Espanola,57,Special Packaging: Humidor of 155 cigars (24 of this kind)
Cuba,4.0,,Partagas 155 Aniversario 109 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-155-Aniversario-109.htm,184,,Thick,109,50,Special Packaging: Humidor of 155 cigars (24 of this kind)
Cuba,4.0,"7,52 gr.",Partagas Aristocrats Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Partagas-Aristocrats.htm,129,7.9,Medium,Petit Cetro,40,Box of 25
Cuba,4.5,"10,14 gr.",Partagas 8-9-8 Sin Barnizar Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-8-9-8-Sin-Barnizar.htm,155,8.7,Medium,Corona Grande,42,Cabinet 8-9-8 of 25
Cuba,4.0,"6,39 gr.",Partagas Charlottes Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-Charlottes.htm,143,8.3,Thin,Carlota,35,2 Layers in a Box of 25
Cuba,0.0,"11,86 gr.",Partagas 155 Aniversario Dalia Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-155-Aniversario-Dalia.htm,170,,Medium,Dalia,43,Special Packaging: Humidor of 155 cigars (24 of this kind)
Cuba,4.5,"11,86 gr.",Partagas 8-9-8 Barnizados Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Flor-de-Tabacos-de-Partagas-8-9-8-Barnizados.htm,170,8.9,Medium,Dalia,43,Varnished Cabinet 8-9-8 of 25
Cuba,0.0,,Partagas 150 Aniversario Robustos Extra Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-150-Aniversario-Robustos-Extra.htm,170,,Thick,Robustos Extra,50,Special Packaging: Humidor of 155 cigars (24 of this kind)
Cuba,4.5,"11,66 gr.",Partagas 150 Aniversario Robustos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-150-Aniversario-Robustos.htm,124,,Thick,Robusto,50,"Special Packaging: The presentation comes in a Humidor with three different cigars. ""Robustos"" size, ""Coronas Grandes"" size and ""109"" size. 50 cigars of each kind."
Cuba,0.0,,Punch Triunfos Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Punch-Triunfos.htm,129,,Medium,,,
Cuba,4.0,"10,14 gr.",Partagas 150 Aniversario Coronas Grandes Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-150-Aniversario-Coronas-Grandes.htm,155,,Medium,Corona Grande,42,"Special Packaging: The presentation comes in a Humidor with three different cigars. ""Robustos"" size, ""Coronas Grandes"" size and ""109"" size. 50 cigars of each kind."
Cuba,4.5,,Partagas 150 Aniversario 109 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Partagas-150-Aniversario-109.htm,184,,Thick,109,50,"Special Packaging: The presentation comes in a Humidor with three different cigars. ""Robustos"" size, ""Coronas Grandes"" size and ""109"" size. 50 cigars of each kind."
Cuba,0.0,"7,46 gr.",Punch Superfinos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Superfinos.htm,110,,Medium,Minuto,42,
Cuba,3.5,"7,467 gr.",Punch Tres Petits Coronas Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Tres-Petits-Coronas.htm,110,7.0,Medium,Minuto,42,2 Layers in a Box of 25
Cuba,4.5,"10,14 gr.",Punch Super Selection No. 1 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Super-Selection-No-1.htm,155,8.5,Medium,Corona Grande,42,Slide lid box of 50
Cuba,4.5,"11,41 gr.",Punch Super Selection No 2 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Super-Selection-No-2.htm,143,8.9,Thick,Corona Gorda,46,Slide lid box of 25
Cuba,4.0,,Punch Super Robustos Regional Edition 2006 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Super-Robustos-RE-2006.htm,155,7.8,Thick,Dobles,50,2140 numbered cases with both 25 and 50 cabinet boxes
Cuba,0.0,"8,46 gr.",Punch Souvenir Deluxe MM Cigars - Cuban Cigars Reviews,Machine Made,http://www.cigars-review.org/Punch-Souvenir-De-Luxe-MM.htm,129,,Medium,Petit Coronas,42,Special packaging: (Aluminium packs with cellophane) boxes of 5 in boxes of 25 and 50.
Cuba,0.0,"7,29 gr.",Punch Souvenir Deluxe HM Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Souvenir-De-Luxe-HM.htm,126,,Medium,Londres,40,Special packaging: (Aluminium packs) boxes of 5 in boxes of 25 and 50.
Cuba,4.0,9.59 gr.,Punch Small Club Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Small-Club.htm,102,,Thick,Petit Robusto,50,
Cuba,0.0,"11,41 gr.",Punch Seleccion Deluxe No 1 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Seleccion-Deluxe-no1.htm,143,,Thick,Corona Gorda,46,
Cuba,0.0,"8,46 gr.",Punch Seleccion Deluxe No 2 Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Seleccion-De-Luxe-No-2.htm,129,,Medium,Mareva,42,Slide Lid Box: Boxes of 25.
Cuba,4.0,"14,26 gr.",Punch Sabrosos Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Sabrosos.htm,156,,Thick,Piramide,52,
Cuba,4.5,"14,26 gr.",Punch Serie d'Oro Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Serie-Doro.htm,156,9.1,Thick,Piramide,52,
Cuba,0.0,"11,66 gr.",Punch Robusto Cigars - Cuban Cigars Reviews,Hand Made,http://www.cigars-review.org/Punch-Robusto.htm,124,,Thick,Robusto,50,
