origin,average_user_rating,weight,title,manufactured,current_url,length,score,gauge,cigar_format,ring,presentation
Cuba,4.0,"10,86 gr.","
  H. Upmann  Connoisseur No. 1",Hand Made,http://www.cigars-review.org/H-Upmann-Connoisseur-No-1.htm,127,8.3,Thick,Hermoso No. 4,48,Slide lid box of 25
Cuba,3.5,"6,72 gr.","
  H. Upmann  Aromaticos No.1",Machine Made,http://www.cigars-review.org/H-Upmann-Aroomaticos-No1.htm,117,,Medium,Coronitas,40,"Semi Plain Box with cellophane 25's; 207, 707 without cellophane 25's.
Cardboard Pack: 207, 707 with cellophane 5's in 25's."
Cuba,1.5,"8,46 gr.","
  H. Upmann  Aromaticos No2",Machine Made,http://www.cigars-review.org/H-Upmann-Aroomaticos-No2.htm,129,,Medium,Petit Coronas,42,"Semi Plain Box with cellophane 25's; 207, 707 without cellophane 25's.
Cardboard Pack: 207, 707 with cellophane 5's in 25's."
Cuba,3.5,,"
  H. Upmann  Belvederes",Machine Made,http://www.cigars-review.org/H-Upmann-Belvederes.htm,125,,Thin,Belvederes,39,Semi Plain Box with cellophane 25's.
Cuba,0.0,,"
  Juan Lopez  Tres Petit Coronas",Hand Made,http://www.cigars-review.org/Juan-Lopez-Tres-Petit-Coronas.htm,122,,Medium,,,
Cuba,0.0,,"
  H. Upmann  150 Anniversary Celebration Dinner Cigars",Hand Made,http://www.cigars-review.org/H-Upmann-150-Aniversario.htm,233,,Thick,Diademas,55,Served at the Celebration Dinner commemorating the 150 anniversary of the brand.
Cuba,0.0,,"
  Juan Lopez  Titanias",Hand Made,http://www.cigars-review.org/Juan-Lopez-Titanias.htm,110,,Medium,,,
Cuba,5.0,15 gr.,"
  Juan Lopez  Supreme",Hand Made,http://www.cigars-review.org/Juan-Lopez-Supreme.htm,135,,Thick,Edmundo,52,
Cuba,0.0,,"
  Juan Lopez  Short Torpedo",Hand Made,http://www.cigars-review.org/Juan-Lopez-Short-Torpedo.htm,127,,Thick,Petit Piramides,50,
Cuba,3.0,"8,46 gr.","
  H. Upmann  Amatistas",Hand Made,http://www.cigars-review.org/H-Upmann-Amatistas.htm,146,6.2,Medium,Superiores,40,2 Layers in a Box of 25
Cuba,0.0,"5,91 gr.","
  Juan Lopez  Seleccion No 5",Hand Made,http://www.cigars-review.org/Juan-Lopez-Seleccion-No.5.htm,102,,Medium,Perla,40,
Cuba,0.0,9.59 gr.,"
  Juan Lopez  Short Robusto",Hand Made,http://www.cigars-review.org/Juan-Lopez-Short-Robusto.htm,102,,Thick,Petit Robusto,50,
Cuba,0.0,,"
  Juan Lopez  Seleccion No 3",Hand Made,http://www.cigars-review.org/Juan-Lopez-Seleccion-No.3.htm,110,,Thick,Petit Edmundo,52,
Cuba,3.5,,"
  Juan Lopez  Seleccion Suprema",Hand Made,http://www.cigars-review.org/Juan-Lopez-Seleccion-Suprema.htm,170,,Thick,Torre Iznaga,52,
Cuba,4.0,"14,26 gr.","
  Juan Lopez  Seleccion No 4",Hand Made,http://www.cigars-review.org/Juan-Lopez-Seleccion-No.4.htm,156,8.2,Thick,Piramide,52,
Cuba,4.0,"11,66 gr.","
  Juan Lopez  Seleccion No 2",Hand Made,http://www.cigars-review.org/Juan-Lopez-Seleccion-No-2.htm,124,8.4,Thick,Robusto,50,Banded bundle of 25 in a varnished slide-lid box.
Cuba,4.5,"11,41 gr.","
  Juan Lopez  Seleccion No 1",Hand Made,http://www.cigars-review.org/Juan-Lopez-Selection-No-1.htm,143,8.5,Thick,Corona Gorda,46,Slide lid box of 25
Cuba,4.0,"8,46 gr.","
  Juan Lopez  Petit Coronas",Hand Made,http://www.cigars-review.org/Juan-Lopez-Petit-Coronas.htm,129,7.9,Medium,Mareva,42,2 Layers in a Box of 25
Cuba,3.0,"6,72 gr.","
  Juan Lopez  Patricias",Hand Made,http://www.cigars-review.org/Juan-Lopez-Patricias.htm,116,5.9,Medium,Franciscano,40,2 Layers in a Box of 25
Cuba,4.0,"12,45 gr.","
  Juan Lopez  Obus",Hand Made,http://www.cigars-review.org/Juan-Lopez-Obus.htm,140,,Thick,Campana,52,
Cuba,4.0,"5,27 gr.","
  Juan Lopez  Panetelas Superba",Hand Made,http://www.cigars-review.org/Juan-Lopez-Panetelas-Superba.htm,125,8.2,Thin,Placeras,34,2 Layers in a Box of 25
Cuba,0.0,,"
  Juan Lopez  Panetelas de luxe",Hand Made,http://www.cigars-review.org/Juan-Lopez-Panetelas-de-Luxe.htm,140,,Thin,,,
Cuba,0.0,,"
  Juan Lopez  Epicures",Hand Made,http://www.cigars-review.org/Juan-Lopez-Epicures.htm,142,,Thin,,,
Cuba,0.0,,"
  Juan Lopez  Maximos",Hand Made,http://www.cigars-review.org/Juan-Lopez-Maximos.htm,157,,Thick,Hermoso No. 2,48,
Cuba,0.0,"10,14 gr.","
  Dunhill  Tubos",Hand Made,http://www.cigars-review.org/Dunhill-Tubos.htm,155,,Medium,Corona Grande,42,Semi Plain Box: (In alluminium tubes) 25's.
Cuba,4.5,,"
  Juan Lopez  Distinguidos",Hand Made,http://www.cigars-review.org/Juan-Lopez-Distinguidos.htm,162,,Thick,Romeo,52,
Cuba,0.0,"8,46 gr.","
  Dunhill  Varadero",Hand Made,http://www.cigars-review.org/Dunhill-Varadero.htm,129,,Medium,Mareva,42,Semi Boite Nature with Brooch: 25's
Cuba,4.5,9.59 gr.,"
  Juan Lopez  Ideales",Hand Made,http://www.cigars-review.org/Juan-Lopez-Ideales.htm,102,,Thick,Petit Robusto,50,
Cuba,4.5,"9,29 gr.","
  Dunhill  Mojito",Hand Made,http://www.cigars-review.org/Dunhill-Mojito.htm,142,,Medium,Corona,42,"Semi Plain Box: (Without cellophane) 25's.
Semi Boite Nature with Brooch: 25's."
Cuba,0.5,"18,79 gr.","
  Dunhill  Havana Club",Hand Made,http://www.cigars-review.org/Dunhill-Havana-Club.htm,235,,Thick,Gran Corona,47,Slide Lid Box: 1's in an individual Slide Lid Box in 5's.
Cuba,2.5,"10,8 gr.","
  Dunhill  Malecon",Hand Made,http://www.cigars-review.org/Dunhill-Malecon.htm,165,,Medium,Cervantes,42,Semi Boite Nature with Brooch: 25's.
Cuba,3.0,"9,29 gr.","
  Juan Lopez  Coronas",Hand Made,http://www.cigars-review.org/Juan-Lopez-Coronas.htm,142,6.0,Medium,Corona,42,2 Layers in a Box of 25
Cuba,4.5,"11,66 gr.","
  Dunhill  Cabinetta",Hand Made,http://www.cigars-review.org/Dunhill-Cabinetta.htm,124,,Thick,Robusto,50,Slide Lid Box: 25's.
Cuba,4.5,"15,07 gr.","
  Dunhill  Estupendos",Hand Made,http://www.cigars-review.org/Dunhill-Estupendos.htm,178,9.0,Thick,Julieta No. 2,47,Semi Boite Nature with Brooch: (In alluminium tubes) 10's.
Cuba,4.5,"5,01 gr.","
  Dunhill  Atados",Hand Made,http://www.cigars-review.org/Dunhill-Atados.htm,175,,Thin,Panetela Larga,28,Slide Lid Box: 25's.
Cuba,0.0,"18,79 gr.","
  Vegueros  Cepo",Hand Made,http://www.cigars-review.org/Vegueros-Cepo.htm,141,,Thick,Gran Corona,49,
Cuba,4.0,"5,01 gr.","
  Vegueros  Seoane",Hand Made,http://www.cigars-review.org/Vegueros-de-Pinar-del-Rio-Seoane.htm,125,7.9,Thin,Seoane,36,2 Layers in a Box of 25
Cuba,3.5,"8,46 gr.","
  Vegueros  Mareva",Hand Made,http://www.cigars-review.org/Vegueros-de-Pinar-del-Rio-Mareva.htm,129,6.5,Medium,Mareva,42,2 Layers in a Box of 25
Cuba,0.0,"12,45 gr.","
  Vegueros  Belicosos Extra",Hand Made,http://www.cigars-review.org/Vegueros-Belicosos-Extra.htm,140,,Thick,Campana,52,
Cuba,3.5,"8,15 gr.","
  Vegueros  Especiales No. 2",Hand Made,http://www.cigars-review.org/Vegueros-de-Pinar-del-Rio-Especiales-No-2.htm,152,7.4,Thin,Laguito No. 2,38,2 Layers in a Box of 25
Cuba,3.5,"10,29 gr.","
  Vegueros  Especiales No 1",Hand Made,http://www.cigars-review.org/Vegueros-de-Pinar-del-Rio-Especiales-No-1.htm,192,7.1,Thin,Laguito No. 1,38,2 Layers in a Box of 25
Cuba,0.0,"7,46 gr.","
  El Rey del Mundo  Tres Petit Coronas",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Tres-Petit-Coronas.htm,110,,Medium,Minuto,42,Semi Plain Box: (Without cellophane) boxes of 25.
Cuba,4.5,"12,45 gr.","
  El Rey del Mundo  Torpedos",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Torpedos.htm,140,,Thick,Campana,52,
Cuba,0.0,,"
  El Rey del Mundo  Royal Series No 3",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Royal-Series-No-3.htm,110,,Medium,,,
Cuba,0.0,"2,81 gr.","
  El Rey del Mundo  Senoritas",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Senoritas.htm,115,,Thin,Laguito No. 3,26,"Semi Plain Box without cellophane 50's.
Slide Lid Box: 25's."
Cuba,0.0,,"
  El Rey del Mundo  Royal Series No 2",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Royal-Series-No-2.htm,129,,Medium,,,
Cuba,4.5,"15,07 gr.","
  El Rey del Mundo  Tainos",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Tainos.htm,178,8.8,Thick,Julieta No. 2,47,2 Layers in a Box of 25
Cuba,0.0,"8,46 gr.","
  El Rey del Mundo  Petit Lonsdales",Hand Made,http://www.cigars-review.org/El-Rey-del-Mundo-Petit-Lonsdales.htm,129,,Medium,Mareva,42,"Semi Plain Box without cellophane 25's.
Slide Lid Box: 25's."
